X,Y,OBJECTID_1,OBJECTID,NAME,ADDRESS,TYPE_,Notes,PHONE,Symbol,Capacity,Activated_As_Cooling_Site,Gender,Warming_Cooling,GlobalID,Hours3
-77.0213758099999,38.93500999,1,1,Park View Recreation Center,693 Otis Pl NW,Walk to Learn,,202-576-8658,Walk to Learn,12,Yes,Ages 12 and Under,Cooling,{457F41BA-D92B-4524-A34E-81391888F3F2},Weekdays 10AM-5PM
-76.98985917,38.8833486500001,2,2,Watkins Recreation Center,"420 12th Streets, SE",Recreation Center, ,202-727-1504,Recreation Center,15-20,No,,Cooling,{FA760643-874B-445B-82D4-2FD837AA5D3E},
-76.99980971,38.8840706400001,3,3,John L. Young Center For Women,"425 D St., NW",Private Low Barrier Shelter, ,202-639-8469,Private Low Barrier Shelter, ,No,,Cooling,{7800438E-C825-4464-B2D7-166141510CAE},
-77.01916906,38.9003609700001,4,4,Patricia Handy Place,810 5th St NW,DHS Low Barrier Shelter, ,(202) 733-5378,DHS Low Barrier Shelter, ,No,Men,Cooling,{6FF7CB9F-B48F-4867-AA32-07D335AADE47},24 hours
-76.97487627,38.9196222900001,5,5,Adams Place Day Center for women,2210 Adams Pl NE #1,Private Low Barrier Shelter, ,(202) 832-8317,Private Low Barrier Shelter, ,No,,Cooling,{4F80715A-EDCD-4258-809F-3757F6EBE495},"Monday-Friday; 7am-7pm"
-76.9123594499999,38.89173121,6,6,Marvin Gaye Recreation Center,"6201 Banks Place, NE 20019",Recreation Center,,(202) 899-6004,Recreation Center,15,Yes,,Cooling,{9EB60267-D634-4C69-9C53-7F0439C188C0},Daily 10AM-8PM
-77.06202295,38.90357405,7,7,Georgetown Ministries,"1041 Wisconsin Avenue, NW",Private Low Barrier Shelter, ,202-338-8301,Private Low Barrier Shelter, ,No,,Cooling,{913A6BCF-0304-4663-8C1C-44F1A38BB99A},
-77.0519609899999,38.8985313900001,8,8,Miriam's Kitchen,"2401 Virginia Avenue, NW",Private Low Barrier Shelter, ,202-452-8926,Private Low Barrier Shelter, ,No,,Cooling,{914F8845-C6E9-4EDE-BEEC-46FA31D71B62},
-77.08063657,38.9513659400001,9,9,Friendship Place Welcome Center,"4713 Wisconsin Avenue, NW",Private Low Barrier Shelter, ,202-364-1419,Private Low Barrier Shelter, ,No,,Cooling,{38FE90EE-4A3A-4DC4-97EA-D118124448E3},
-76.98697007,38.88145847,10,10,Everyone Home DC,1338 G Street SE,Private Low Barrier Shelter, ,202-544-3150,Private Low Barrier Shelter, ,No,,Cooling,{4E276E06-C083-400A-B4C1-7258E6BFD3E8},
-77.00966003,38.9015567500001,11,11,Father McKenna Center,"19 I Street, NW",Private Low Barrier Shelter, ,202-842-1112,Private Low Barrier Shelter, ,No,,Cooling,{41596C6F-5E90-4FF1-9DB9-3B6A44206FF0},
-76.97557417,38.8852198100001,12,12,DC General Building 9 Harriet Tubman,"1900 Massachusetts Avenue, SE",Private Low Barrier Shelter, ,202-399-7093,Private Low Barrier Shelter, ,Yes,Women,Cooling,{FF4A3149-21AE-4F02-A098-83B059DFC078},24 hours
-77.035747839,38.9334798100001,13,13,Thrive,"1525 Newton Street, NW G1",Private Low Barrier Shelter, ,202-737-9311,Private Low Barrier Shelter, ,No,,Cooling,{874833F6-AED2-4235-ABB4-5E419A4E2125},
-77.03142561,38.90756608,14,14,Bethany Women's Shelter,"1333 N Street, NW",Private Low Barrier Shelter, ,202-939-2076,Private Low Barrier Shelter, ,No,,Cooling,{4167AB08-4B46-49F0-BBC9-C012721CE0B7},
-77.03121326,38.89997606,15,15,Downtown Day Services,"1313 New York Avenue, NW",Private Low Barrier Shelter,"Daily meals, showers, laundry, clothing, housing assistance.",202-383-8810,Private Low Barrier Shelter, ,Yes,All,Cooling,{929FC764-4C1F-474F-B3F9-EC234CAE9D55},Regular hours:   Mon-Fri 9AM to 5PM   Weekend hours:   Sat– Sun 10AM to 3PM  
-77.0849811799999,38.90991617,16,16,Hardy Recreation Center,4500 Q STREET NW,Recreation Center,,(202) 282-2190,Recreation Center,12,Yes,,Cooling,{9A89DBE7-CD22-43DC-B27B-1616D71992DA},
-77.013239853,38.90672299,17,17,New York Ave/Dunbar Recreation,"100 N Street, NW",Recreation Center,Confirmed 2020 Cooling Site, ,Recreation Center,15,No,,Cooling,{BE15034D-C6B7-44C6-B48F-CF9315407E60},
-77.009058295,38.8792859270001,18,18,Randall Recreation Center,SOUTH CAPITOL ST AND I ST SW,Recreation Center,,(202) 727-1420,Recreation Center,12,No,All,Cooling,{91F8014C-3723-4F26-9979-80A9946D7098},"Tues-Fri: 10AM-6PM, Sat-Sun: 10PM-6PM, Closed Mon"
-77.06680255,38.9101020200001,19,19,Volta Park Recreation Center,1555 34TH STREET NW,Recreation Center,,(202) 645-5668,Recreation Center,12,Yes,,Cooling,{CCB4728E-BBA9-498F-9351-1E2874106457},"Mon-Fri 11am-7pm; Sat CLOSED"
-77.008298982,38.826762278,20,20,Patterson Elementary,"4399 South Capitol Terrace SW, Washington, DC 20032",DCPS,Confirmed 2020 Cooling Site, ,DCPS,15-20,No,,Cooling,{501D78FD-9BFE-46EA-A50D-B385E02FAA35},
-77.025324557,38.9107022760001,21,21,Seaton Elementary,"1503 10th St NW, Washington, DC 20001",DCPS,Confirmed 2020 Cooling Site, ,DCPS,15-20,No,,Cooling,{B09020D9-4FD9-4D6C-BA2B-697D53DB4442},
-77.031351743,38.9526223030001,22,22,Hamilton Recreation Center,"1340 Hamilton St NW, Washington, DC 20011",Recreation Center,, ,Recreation Center,12,Yes,,Cooling,{8C1BF716-28AD-4948-B50D-55E04FB3914E},
-77.0139787479999,38.9045286250001,23,23,Walker Jones Education Campus,"1125 New Jersey Ave NW, Washington, DC 20001",DCPS, , ,DCPS,15-20,No,,Cooling,{8CF5CBE6-5A5A-4E9C-968B-EDE61FB9AF33},
-76.93372463,38.8968090440001,24,24,Aiton Elementary,"533 48th Pl NE, Washington, DC 20019",DCPS,Confirmed 2020 Cooling Site, ,DCPS,15-20,No,,Cooling,{6CA18463-6CBE-4CC0-BE2C-15E2C467CF11},
-76.964261995,38.870233012,25,25,Randle Highlands Elementary,"1650 30th St SE, Washington, DC 20020",DCPS,Confirmed 2020 Cooling Site, ,DCPS,15-20,No,,Cooling,{BFB5CC14-0B8E-41EC-A42F-0939ECFC7E10},
-76.99685754,38.8422465670001,26,26,Congress Heights Recreation,"611 Alabama Ave SE, Washington, DC 20032",Recreation Center,Confirmed 2020 Cooling Site, ,Recreation Center,8,No,,Cooling,{34BD43C6-E983-4783-95AE-205287C226E5},
-76.97913403,38.8978119500001,27,27,Rosedale Library,1701 Gales Street NE,Library,,(202) 727-5012,Library, ,Yes,,Cooling,{6E00961F-E4DE-4A87-918B-A0BF30558033},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0660146609999,38.91340152,28,28,Georgetown Library,3260 R Street NW,Library,,(202) 727-0232,Library, ,Yes,,Cooling,{B9F184DB-7B3E-4862-A5D1-86555CAB3D49},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0261374299999,38.9422002200001,29,29,Petworth Library,4200 Kansas Avenue NW,Library,,(202) 243-1188,Library, ,Yes,,Cooling,{32821534-680A-423F-AF53-AFE0A9B49A9B},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0371446,38.93046772,30,30,Mt. Pleasant Library,3160 16th Street NW,Library,,(202) 671-3121,Library, ,Yes,,Cooling,{45E15A2F-0E7E-43D9-9E99-9DDCB95E2E14},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.02221836,38.9124421600001,31,31,Shaw Library - Watha T. Daniel,1630 7th Street NW,Library,,(202) 727-1288,Library, ,Yes,,Cooling,{9330D75D-0849-4D55-BD0D-144946AB31AB},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.93215558,38.9084449600001,32,32,Deanwood Library,1350 49th Street NE,Library,,(202) 698-1175,Library, ,Yes,,Cooling,{D6FF3FAF-DBCE-4608-BA6D-C843E72C9F2F},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.94780521,38.89413388,33,33,Benning Library - Dorothy I Height,3935 Benning Road NE,Library,,(202) 281-2583,Library, ,Yes,,Cooling,{37E97EAB-3D87-4D01-9E00-5CC9F881CD33},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.929577211,38.88895483,34,34,Capitol View Library,5001 Central Avenue SE,Library,,(202) 645-0755,Library, ,Yes,,Cooling,{A99EE794-F277-437D-AD8E-E0B4B57645EE},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0754297189999,38.9655755700001,35,35,Chevy Chase Library,5625 Connecticut Avenue NW,Library,,(202) 282-0021,Library, ,Yes,,Cooling,{D261CEF4-0A29-48B4-AA3F-18EDCF4C3B0F},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0652009899999,38.9462256300001,36,36,Cleveland Park Interim Library,4340 Connecticut Avenue NW,Library, ,(202) 282-3080,Library, ,No,,Cooling,{EB0A1F39-FF32-4F1E-AA2C-3811BCF61E6E},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.95420121,38.8648716000001,37,37,Francis A. Gregory Library,3660 Alabama Avenue SE,Library,,(202) 698-6373,Library, ,Yes,,Cooling,{E226CD07-CF4F-44B5-AB7D-BBDC76A5DE9E},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.999584321,38.95512813,38,38,Lamond-Riggs Interim Library,395 Ingraham St NE,Library,,(202) 541-6255,Library, ,Yes,,Cooling,{55949AE2-AF12-4DEF-9180-37982AE99A37},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.02476625,38.8986916600001,39,39,Martin Luther King Jr. Memorial Library,901 G Street NW,Library,,(202) 727-0321,Library, ,Yes,,Cooling,{FBE41995-F441-4BE6-A56E-45A8729358B7},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-8:00 p.m.
Tuesday:10:00 a.m.-8:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:10:00 a.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.9964301099999,38.8944085300001,40,40,Northeast Library,330 7th Street NE,Library,,(202) 698-0058,Library, ,Yes,,Cooling,{D9381ADC-BCDD-4AFC-838C-8219E4E88424},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0799474299999,38.9476072900001,41,41,Tenley-Friendship Library,4450 Wisconsin Avenue NW,Library,,(202) 727-1488,Library, ,Yes,,Cooling,{ECC2C3C8-29F6-4960-A9FD-70A4E5D231EB},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0971746399999,38.9183818000001,42,42,Palisades Library,4901 V Street NW,Library,,(202) 282-3139,Library, ,Yes,,Cooling,{13DEA36A-D954-40DC-ADD1-FFD17F0A9F7D},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.99651546,38.8840844600001,43,43,Southeast Library,403 7th Street SE,Library,,(202) 698-3377,Library, ,Yes,,Cooling,{4A1D40AC-F159-4BD6-BD85-FE2302187F56},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.01583178,38.8786979500001,44,44,Southwest Library,900 Wesley Place SW,Library,,(202) 724-4752,Library, ,Yes,,Cooling,{3374B9A0-4F07-4662-B4BB-3843A3285435},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.027005561,38.9802904700001,45,45,Shepherd Park Library - Juanita E. Thornton,7420 Georgia Avenue NW,Library,,(202) 541-6100,Library, ,Yes,,Cooling,{9054434B-3E41-4105-99A6-E1F4A4DEB6EF},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0201568699999,38.9744367500001,46,46,Takoma Park Library,416 Cedar Street NW,Library,,(202) 576-7252,Library, ,Yes,,Cooling,{387D90D7-1993-4BF3-A76A-3931EFCD362D},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.98125132,38.84618686,47,47,Parklands-Turner Library,1547 Alabama Avenue SE,Library,,(202) 645-4532,Library, ,Yes,,Cooling,{2B828E4D-08CA-41FE-BF9E-2F8C8AC7D0FE},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.0093649,38.83132585,48,48,Bellevue Library - William O. Lockridge,115 Atlantic Street SW,Library,,(202) 281-2583,Library, ,Yes,,Cooling,{A2351D13-1E5D-471C-83D4-A02483053FB8},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.050686985,38.9039620390001,49,49,West End Library,2301 L Street NW,Library, ,(202) 724-8707,Library, ,No,,Cooling,{3BBC73F9-DFFE-48D4-80BE-1593685AA6C8},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.97863547,38.9274137300001,50,50,Woodridge Library,1801 Hamlin Street NE,Library,,(202) 541-6226,Library, ,Yes,,Cooling,{F44F63C0-65FE-457D-B44D-18F5ACD6A240},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.01361683,38.9040027500001,51,51,Northwest One Library,155 L Street NW,Library,,(202) 939-5946,Library, ,Yes,All,Cooling,{551FD19A-03F8-4204-8CA3-780732A95D5A},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.9785439299999,38.86598623,52,52,Anacostia Library,1800 Good Hope Road SE,Library,,(202) 715-7707,Library, ,Yes,All,Cooling,{82DF42DF-6EE8-4CB8-889D-D5E9808E0333},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.04454792,38.9021849100001,53,53,Library Express,"1990 K St., NW Lower Level",Library, ,(202) 727-0324,Library, ,No,,Cooling,{8CDEC1CD-639A-43A3-BBAA-46C62D8AA736},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-77.057900909,38.9337902770001,54,54,Cleveland Park Library,3310 Connecticut Avenue NW,Library,,(202) 282-3080,Library, ,Yes,All,Cooling,{1957F8B9-8B70-4BBB-9387-5E3EED3C65D1},"Sunday:1:00 p.m.-5:00 p.m.
Monday:10:00 a.m.-6:00 p.m.
Tuesday:10:00 a.m.-6:00 p.m.
Wednesday:10:00 a.m.-8:00 p.m.
Thursday:12:00 p.m.-8:00 p.m.
Friday:10:00 a.m.-6:00 p.m.
Saturday:10:00 a.m.-6:00 p.m."
-76.9626421,38.8588061200001,55,55,Hillcrest Spray Park,3100 Denver St SE,Spray Park, ,202-645-9200,Spray Park, ,Yes,All,Cooling,{85A7BFD4-BA14-4C43-A43D-522A9B0781AE},Daily 10AM-8PM
-77.0179964009999,38.96889264,56,56,Takoma Aquatic Center,300 Van Buren St NW,Indoor Pool, ,202-576-9284,Indoor Pool, ,No,All,Cooling,{CD608214-2461-4984-A158-46630164B245},"Mon-Fri 6AM-12PM & 3-9PM, Mon-Fri Closed 1-3PM, Sat 10AM-4PM"
-76.99279011,38.9381043600001,57,57,Turkey Thicket Recreation Center,1100 Michigan Ave NE,Recreation Center,,202-576-9237,Recreation Center, ,Yes,All,Cooling,{D266725E-0EE1-4FAE-A04C-58B48D6C8E21},"Mon-Fri 10am-9pm; Sat 9am-5pm"
-76.9970287089999,38.88658538,58,58,William H. Rumsey Aquatic Center Capitol East Natatorium,635 North Carolina Ave SE,Indoor Pool,,202-724-4495,Indoor Pool, ,Yes,All,Cooling,{E5C0D3CB-C248-4E16-8592-509EFE69F47E},"Mon-Fri 6AM-12PM & 3-9PM, Mon-Fri Closed 1-3PM, Sat 10AM-4PM"
-76.9632597899999,38.88091402,59,59,Therapeutic Indoor Pool,"3030 G Street, NE",Indoor Pool, ,202-645-5708,Indoor Pool, ,No,,Cooling,{E8A3F260-8928-45CC-8D5D-EF56C8871FEA},
-76.9963033499999,38.8603250900001,60,60,Barry Farm Aquatic Center,1230 Sumner Rd SE,Indoor Pool,,,Indoor Pool, ,Yes,All,Cooling,{2E4AB1DB-450E-4278-9FFC-7546AF120A61},"Mon-Fri 6AM-12PM & 3-9PM, Mon-Fri Closed 1-3PM, Sat 10AM-4PM"
-76.995163441,38.8323439000001,61,61,Ferebee-Hope Aquatic Center,3999 8th St SE,Indoor Pool,,202-645-3916,Indoor Pool, ,Yes,,Cooling,{0DECFEB2-5858-46C1-8D6B-64231DFB35CB},
